"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"De Los Santos, Enyel",660853,42.6,,,31.2,26.2,,,,,
"Varland, Gus",681402,55.8,,,42.2,2.0,,,,,
"Anderson, Grant",681982,43.9,19.7,,,3.3,,,,33.1,
"Beeks, Jalen",656222,50.6,,9.4,,39.9,,,,,
"Raley, Brooks",548384,,23.0,20.9,,13.0,,,,43.1,
"Bolton, Cody",675989,28.4,15.1,23.8,,10.7,11.5,,,10.5,
"Vest, Will",676684,44.7,15.7,,27.8,11.8,,,,,
"Henriquez, Edgardo",683618,34.3,29.4,9.0,24.5,,2.8,,,,
"Loáisiga, Jonathan",642528,19.7,30.9,,,30.1,19.2,,,,
"Scott, Tanner",656945,49.4,,,50.6,,,,,,
"Herrin, Tim",682120,21.6,20.3,,29.7,0.5,27.9,,,,
"Williams, Devin",642207,50.0,,,0.8,49.2,,,,,
"Borucki, Ryan",621366,,35.0,4.7,37.6,,,13.2,,9.5,
"Nardi, Andrew",677053,47.9,1.9,,15.6,11.6,,,,23.0,
"Doval, Camilo",666808,,43.7,33.1,20.5,2.7,,,,,
"Garcia, Rico",670329,34.2,,,21.1,27.0,17.6,,,,
"Clarke, Taylor",664199,3.0,19.2,22.2,32.7,23.0,,,,,
"Kuhnel, Joel",669270,5.7,53.4,19.8,9.5,8.9,2.7,,,,
"Warren, Austin",681810,14.9,20.1,1.6,,0.8,13.0,,,49.6,
"Senga, Kodai",673540,37.6,4.4,22.3,1.4,,0.3,,,10.6,
"Johnson, Pierce",572955,33.5,,,,,66.5,,,,
"Megill, Trevor",656730,60.5,,,,,39.5,,,,
"King, John",667463,2.5,31.9,,23.4,19.2,9.1,,,14.0,
"Uribe, Abner",682842,,64.7,,35.3,,,,,,
"Adam, Jason",592094,24.2,,,39.1,30.3,,,,6.3,
"Hurter, Brant",676428,4.2,57.8,,,11.1,,,,26.9,
"Junis, Jakob",596001,15.8,19.4,,42.2,22.5,,,,,
"Topa, Justin",623437,,42.6,26.5,,14.2,,,,16.7,
"Sabrowski, Erik",681870,66.2,,,12.8,,20.9,,,,
"Abel, Mick",690953,42.9,3.4,,13.4,17.6,12.0,,,10.6,
"Mattson, Isaac",676755,80.7,,,9.5,9.2,0.6,,,,
"Rodriguez, Grayson",680570,52.4,,,13.8,16.9,16.9,,,,
"Henderson, Logan",701656,44.9,,19.5,4.5,31.1,,,,,
"Holderman, Colin",670059,4.8,50.6,0.3,,,8.2,,,36.1,
"Sewald, Paul",623149,61.0,,,,,,,,39.0,
"Seabold, Connor",657756,51.3,,4.3,20.3,24.1,,,,,
"Pomeranz, Drew",519141,72.7,,,,,27.3,,,,
"Scherzer, Max",453286,47.2,,1.5,22.4,14.9,14.0,,,,
"Gray, Peyton",682608,38.3,,,16.4,45.3,,,,,
"Yarbrough, Ryan",642232,21.3,10.8,27.5,,18.4,,,,21.9,
"Englert, Mason",669438,17.6,21.1,7.9,4.1,31.1,18.2,,,,
"Mears, Nick",683232,36.7,12.0,,27.3,10.6,13.5,,,,
"Hill, Tim",657612,9.1,78.6,,12.3,,,,,,
"Alvarez, Andrew",674841,22.4,12.9,,31.5,2.6,30.6,,,,
"Gil, Luis",661563,45.1,13.4,,21.1,20.5,,,,,
"Rolison, Ryan",669020,44.5,2.1,,19.6,1.8,20.2,,,11.9,
"Vodnik, Victor",680767,48.5,5.1,3.3,24.4,18.8,,,,,
"Bowlan, Jonathan",680742,42.3,15.2,,12.8,14.0,2.4,,,13.4,
"Pérez, Cionel",672335,22.1,22.7,,,,32.2,,,,23.0
"Fairbanks, Pete",664126,50.3,,29.0,18.6,2.1,,,,,
"Winn, Cole",668390,32.3,3.3,28.7,22.2,,,13.5,,,
"Duran, Jhoan",661395,27.4,,,,8.5,10.6,43.5,,10.0,
"Hicks, Jordan",663855,3.7,59.8,,,,,2.5,,34.1,
"Estrada, Jeremiah",669093,57.8,,,10.2,,,32.0,,,
"Thompson, Ryan",657044,5.0,67.8,,27.2,,,,,,
"Strahm, Matt",621381,36.9,10.6,8.1,29.7,14.7,,,,,
