"last_name, first_name",player_id,year,xba,xslg,xwoba,k_percent,bb_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,groundballs_percent,flyballs_percent
"Bassitt, Chris",605135,2026,0.284,0.407,0.344,14.2,8.4,4.1,34.5,21.2,47.4,22.2
"Burrows, Mike",681347,2026,0.263,0.44,0.338,18.4,8.6,9.4,38.3,23.4,37.4,28.5
"Mlodzinski, Carmen",669387,2026,0.284,0.42,0.338,19.4,7.9,7.2,50.3,21.0,44.2,19.9
"Imanaga, Shota",684007,2026,0.232,0.427,0.31,24.0,6.2,11.3,41.5,30.3,39.2,33.5
"Gore, MacKenzie",669022,2026,0.241,0.39,0.318,24.7,10.6,8.8,42.5,24.8,37.0,26.0
"Holmes, Clay",605280,2026,0.251,0.366,0.306,20.9,8.4,5.3,44.0,21.9,55.3,22.0
"Weathers, Ryan",677960,2026,0.244,0.446,0.321,27.7,7.0,11.9,42.5,27.1,43.0,26.3
"Roupp, Landen",694738,2026,0.231,0.318,0.288,26.3,10.2,3.3,30.4,26.3,52.2,18.5
"Wacha, Michael",608379,2026,0.251,0.419,0.322,20.5,8.0,6.9,38.1,23.6,38.1,27.7
"Elder, Bryce",693821,2026,0.224,0.331,0.275,20.8,7.3,3.7,38.9,23.0,45.9,26.6
"deGrom, Jacob",594798,2026,0.235,0.423,0.301,29.8,5.3,10.4,44.8,33.4,30.6,31.7
"Cecconi, Slade",677944,2026,0.268,0.435,0.331,18.4,7.2,7.9,34.0,21.2,44.7,25.6
"Misiorowski, Jacob",694819,2026,0.182,0.254,0.238,38.4,7.3,2.5,31.8,37.8,44.6,22.3
"Gray, Sonny",543243,2026,0.271,0.429,0.333,18.9,6.9,8.5,35.9,21.7,48.2,19.4
"Lopez, Jacob",682052,2026,0.231,0.357,0.311,15.6,13.6,4.7,31.4,19.4,33.1,31.4
"Civale, Aaron",650644,2026,0.277,0.48,0.35,15.9,6.9,8.5,47.9,18.7,29.3,33.5
"Patrick, Chad",694477,2026,0.255,0.37,0.308,18.9,9.7,6.1,39.5,26.2,36.7,27.9
"Harrison, Kyle",690986,2026,0.232,0.328,0.28,31.9,7.0,5.1,28.5,29.5,35.0,26.3
"Rasmussen, Drew",656876,2026,0.235,0.359,0.277,24.8,4.7,7.2,32.0,23.3,51.9,19.9
"Soriano, José",667755,2026,0.235,0.38,0.321,25.5,11.7,9.0,37.0,33.2,52.1,25.1
"Peterson, David",656849,2026,0.265,0.382,0.329,21.1,9.0,5.5,42.6,23.1,51.9,16.4
"McLean, Nolan",690997,2026,0.215,0.336,0.29,27.4,9.0,6.6,35.7,24.4,45.6,23.6
"Webb, Logan",657277,2026,0.258,0.381,0.315,20.3,7.6,5.7,45.5,20.6,59.1,14.8
"Kirby, George",669923,2026,0.255,0.37,0.296,19.8,5.6,5.0,41.4,20.9,53.1,23.0
"Springs, Jeffrey",605488,2026,0.239,0.417,0.315,20.3,7.1,9.4,36.3,22.8,35.4,32.1
"Sproat, Brandon",687075,2026,0.261,0.454,0.361,22.5,12.1,9.9,43.4,23.7,42.8,30.3
"Gilbert, Logan",669302,2026,0.251,0.426,0.317,25.8,5.7,11.0,46.0,28.9,36.5,31.0
"Leiter, Jack",683004,2026,0.248,0.425,0.334,24.5,10.0,11.1,40.7,25.6,38.7,32.2
"Sheehan, Emmet",686218,2026,0.237,0.407,0.307,25.8,6.5,9.7,37.6,29.9,37.6,29.1
"Severino, Luis",622663,2026,0.231,0.388,0.318,24.0,11.4,8.7,38.7,23.0,45.1,26.6
"Brown, Ben",676962,2026,0.209,0.308,0.266,26.4,7.3,6.3,42.4,27.6,48.6,22.2
"Taillon, Jameson",592791,2026,0.253,0.518,0.357,20.6,8.0,14.3,38.4,26.4,35.0,37.9
