game_id,side,slot,player_name
824830,away,1,Victor Robles
824830,away,2,Julio Rodríguez
824830,away,3,Randy Arozarena
824830,away,4,Josh Naylor
824830,away,5,Rob Refsnyder
824830,away,6,Patrick Wisdom
824830,away,7,Mitch Garver
824830,away,8,Cole Young
824830,away,9,Ryan Bliss
824830,home,1,Taylor Ward
824830,home,2,Gunnar Henderson
824830,home,3,Pete Alonso
824830,home,4,Colton Cowser
824830,home,5,Leody Taveras
824830,home,6,Coby Mayo
824830,home,7,Jackson Holliday
824830,home,8,Tyler O'Neill
824830,home,9,Sam Huff
823374,away,1,Shohei Ohtani
823374,away,2,Andy Pages
823374,away,3,Freddie Freeman
823374,away,4,Mookie Betts
823374,away,5,Max Muncy
823374,away,6,Kyle Tucker
823374,away,7,Ryan Ward
823374,away,8,Dalton Rushing
823374,away,9,Alex Freeland
823374,home,1,Nick Gonzales
823374,home,2,Brandon Lowe
823374,home,3,Bryan Reynolds
823374,home,4,Ryan O'Hearn
823374,home,5,Marcell Ozuna
823374,home,6,Davis Wendzel
823374,home,7,Jake Mangum
823374,home,8,Jared Triolo
823374,home,9,Henry Davis
822969,away,1,Jarren Duran
822969,away,2,Ceddanne Rafaela
822969,away,3,Wilyer Abreu
822969,away,4,Willson Contreras
822969,away,5,Masataka Yoshida
822969,away,6,Mickey Gasper
822969,away,7,Caleb Durbin
822969,away,8,Isiah Kiner-Falefa
822969,away,9,Marcelo Mayer
822969,home,1,Yandy Díaz
822969,home,2,Junior Caminero
822969,home,3,Chandler Simpson
822969,home,4,Ryan Vilade
822969,home,5,Austin Slater
822969,home,6,Cedric Mullins
822969,home,7,Ben Williamson
822969,home,8,Nick Fortes
822969,home,9,Richie Palacios
824267,away,1,Byron Buxton
824267,away,2,Brooks Lee
824267,away,3,Kody Clemens
824267,away,4,Josh Bell
824267,away,5,Trevor Larnach
824267,away,6,Victor Caratini
824267,away,7,Royce Lewis
824267,away,8,Luke Keaschall
824267,away,9,Tristan Gray
824267,home,1,Gleyber Torres
824267,home,2,Kevin McGonigle
824267,home,3,Dillon Dingler
824267,home,4,Kerry Carpenter
824267,home,5,Riley Greene
824267,home,6,Spencer Torkelson
824267,home,7,Colt Keith
824267,home,8,Matt Vierling
824267,home,9,Zach McKinstry
823858,away,1,Ketel Marte
823858,away,2,Corbin Carroll
823858,away,3,Gabriel Moreno
823858,away,4,Nolan Arenado
823858,away,5,Pavin Smith
