player_id,name,throws
666200,"Luzardo, Jesús",L
676282,"Cantillo, Joey",L
676962,"Brown, Ben",R
592662,"Ray, Robbie",L
681517,"Leahy, Kyle",R
701542,"Warren, Will",R
665795,"Cabrera, Edward",R
624133,"Suarez, Ranger",L
647336,"Soroka, Michael",R
669194,"Nelson, Ryne",R
607200,"Fedde, Erick",R
672456,"Montero, Keider",R
677960,"Weathers, Ryan",L
641778,"Lauer, Eric",L
554430,"Wheeler, Zack",R
669372,"Ginn, J.T.",R
678394,"Bello, Brayan",R
543243,"Gray, Sonny",R
657746,"Ryan, Joe",R
656605,"Keller, Mitch",R
663623,"Irvin, Jake",R
687064,"Young, Brandon",R
676917,"Cavalli, Cade",R
676974,"Meyer, Max",R
663978,"Paddack, Chris",R
518876,"Kelly, Merrill",R
622491,"Castillo, Luis",R
700712,"Ureña, Walbert",R
687570,"Prielipp, Connor",L
671737,"Bradley, Taj",R
690986,"Harrison, Kyle",L
702070,"Cameron, Noah",L
663969,"Phillips, Tyler",R
684007,"Imanaga, Shota",L
656492,"Griffin, Foster",L
642547,"Peralta, Freddy",R
608379,"Wacha, Michael",R
605135,"Bassitt, Chris",R
669022,"Gore, MacKenzie",L
663903,"Singer, Brady",R
800048,"Messick, Parker",L
693855,"Seymour, Ian",L
571578,"Corbin, Patrick",L
669358,"Baz, Shane",R
663460,"Bubic, Kris",L
657277,"Webb, Logan",R
694477,"Patrick, Chad",R
656876,"Rasmussen, Drew",R
594798,"deGrom, Jacob",R
805123,"Blubaugh, AJ",R
641743,"Kay, Anthony",L
690997,"McLean, Nolan",R
669373,"Skubal, Tarik",L
677958,"Rocker, Kumar",R
668909,"Williams, Gavin",R
680573,"Woods Richardson, Simeon",R
663556,"McClanahan, Shane",L
607067,"Rea, Colin",R
683004,"Leiter, Jack",R
813349,"Early, Connelly",L
693645,"Schlittler, Cam",R
669387,"Mlodzinski, Carmen",R
693433,"Woo, Bryan",R
694819,"Misiorowski, Jacob",R
543135,"Eovaldi, Nathan",R
640455,"Manaea, Sean",L
592332,"Gausman, Kevin",R
667755,"Soriano, José",R
527048,"Pérez, Martín",L
686799,"Kochanowicz, Jack",R
656302,"Cease, Dylan",R
694973,"Skenes, Paul",R
664285,"Valdez, Framber",L
695418,"Lord, Brad",R
605280,"Holmes, Clay",R
607259,"Martinez, Nick",R
650644,"Civale, Aaron",R
607536,"Freeland, Kyle",L
592791,"Taillon, Jameson",R
668678,"Gallen, Zac",R
656550,"Holmes, Grant",R
801139,"Tolle, Payton",L
694738,"Roupp, Landen",R
677944,"Cecconi, Slade",R
650911,"Sánchez, Cristopher",L
593958,"Rodriguez, Eduardo",L
622663,"Severino, Luis",R
693821,"Elder, Bryce",R
808963,"Sasaki, Roki",R
681190,"Vásquez, Randy",R
519242,"Sale, Chris",L
607625,"Lugo, Seth",R
695505,"Burns, Chase",R
676106,"Hancock, Emerson",R
669302,"Gilbert, Logan",R
663436,"Martin, Davis",R
656849,"Peterson, David",L
693686,"Miles, Spencer",R
641927,"Ober, Bailey",R
650633,"King, Michael",R
691587,"Pérez, Eury",R
669923,"Kirby, George",R
680732,"Burke, Sean",R
686218,"Sheehan, Emmet",R
621111,"Buehler, Walker",R
663568,"Kolek, Stephen",R
669160,"May, Dustin",R
678906,"Teng, Kai-Wei",R
671096,"Abbott, Andrew",L
676440,"Bibee, Tanner",R
669467,"Pallante, Andre",R
605488,"Springs, Jeffrey",L
608372,"Sugano, Tomoyuki",R
547179,"Lorenzen, Michael",R
571945,"Mikolas, Miles",R
808967,"Yamamoto, Yoshinobu",R
702056,"Yesavage, Trey",R
608331,"Fried, Max",L
687075,"Sproat, Brandon",R
675660,"Drohan, Shane",L
663554,"Mize, Casey",R
682052,"Lopez, Jacob",L
645261,"Alcantara, Sandy",R
641816,"Mahle, Tyler",R
605400,"Nola, Aaron",R
686790,"McDonald, Trevor",R
669432,"Rogers, Trevor",L
656427,"Flaherty, Jack",R
695076,"Lowder, Rhett",R
696149,"Chandler, Bubba",R
676083,"Junk, Janson",R
691725,"Painter, Andrew",R
677952,"Ashcraft, Braxton",R
672282,"Detmers, Reid",L
641793,"Littell, Zack",R
663567,"Lambert, Peter",R
681293,"Arrighetti, Spencer",R
680736,"Wrobleski, Justin",L
605288,"Houser, Adrian",R
